Year,2015,2016,2017
Singapore,3.3,4.0,5.2
Thailand,6.0,6.1,6.5
Indonesia,5.6,5.3,5.7
Brunei,2.7,3.7,4.6
Philippines,5.6,6.2,5.6
Vietnam,5.1,5.8,6.0
Others ASEAN,10.5,10.8,9.1
China,5.8,5.0,6.0
Japan,6.1,6.2,6.3
South Korea,6.4,6.8,6.4
Taiwan,5.4,5.2,5.6
Others East Asia,6.4,5.8,6.4
India,6.9,7.0,7.3
Pakistan,8.6,8.3,8.1
Others South Asia,6.9,6.5,6.9
Saudi Arabia,10.7,10.8,10.8
United Arab Emirates,6.9,7.4,9.2
Oman,9.7,9.1,9.0
Kuwait,6.0,7.2,7.9
Iran,8.6,8.5,8.5
Others West Asia,7.8,8.0,8.6
Canada,7.6,6.9,8.5
U.S.A,6.7,6.3,8.9
Others Americas,8.7,7.9,6.0
United Kingdom,7.3,6.6,9.2
Ireland,8.7,8.8,8.9
Sweden,6.8,7.6,7.0
Denmark,7.6,8.7,8.5
Finland,7.1,8.1,7.3
Norway,6.5,7.4,7.9
Italy,6.9,6.9,6.1
Spain,7.2,8.0,8.5
France,7.9,9.1,8.5
Belgium,7.8,8.5,8.2
Netherlands,8.4,9.4,9.8
Germany,7.6,8.1,8.3
Switzerland,8.7,8.9,8.8
Russia,6.8,7.3,7.0
Others Europe,7.3,8.0,5.0
Australia,5.8,7.6,6.2
New Zealand,7.0,7.5,7.0
South Africa,8.3,8.8,5.0
Central Asia,8.7,8.5,6.1
Others,7.5,7.0,7.8
